App,Category,Rating,Reviews,Installs,Type,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Reviews_numeric,Reviews_isnull,Price Numerical,Positive Ratio
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431.0,"100,000+",Free,Everyone,Auto & Vehicles,2018-06-12,1.37,4.0 and up,2431.0,False,0.0,0.7428571428571429
DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090.0,"100,000+",Free,Everyone,Auto & Vehicles,2018-07-03,1.7,4.2 and up,6090.0,False,0.0,0.8823529411764706
"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920.0,"10,000,000+",Free,Teen,Auto & Vehicles,2018-07-11,Varies with device,5.0 and up,271920.0,False,0.0,0.967741935483871
Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994.0,"100,000+",Free,Everyone,Auto & Vehicles,2018-03-27,1.6,4.1 and up,994.0,False,0.0,0.3333333333333333
BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348.0,"100,000+",Free,Everyone,Auto & Vehicles,2018-07-29,1.0.3,2.3 and up,348.0,False,0.0,0.6756756756756757
AutoScout24 Switzerland – Find your new car,AUTO_AND_VEHICLES,4.6,13372.0,"1,000,000+",Free,Everyone,Auto & Vehicles,2018-08-03,Varies with device,Varies with device,13372.0,False,0.0,0.8108108108108109
Fuelio: Gas log & costs,AUTO_AND_VEHICLES,4.6,65786.0,"1,000,000+",Free,Everyone,Auto & Vehicles,2018-08-02,Varies with device,4.0.3 and up,65786.0,False,0.0,0.8295454545454546
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739.0,"500,000+",Free,Everyone,Beauty,2018-07-12,1.0.6,4.0.3 and up,1739.0,False,0.0,0.2828282828282828
Hairstyles step by step,BEAUTY,4.6,4369.0,"100,000+",Free,Everyone,Beauty,2018-07-25,1.9,4.0.3 and up,4369.0,False,0.0,0.8271604938271605
Filters for Selfie,BEAUTY,4.3,8572.0,"1,000,000+",Free,Everyone,Beauty,2018-05-10,1.1.0,4.0 and up,8572.0,False,0.0,0.49206349206349204
Beauty Camera - Selfie Camera,BEAUTY,4.0,113715.0,"10,000,000+",Free,Everyone,Beauty,2017-08-03,Varies with device,Varies with device,113715.0,False,0.0,0.6388888888888888
Filters for B Live,BEAUTY,4.4,2280.0,"500,000+",Free,Everyone,Beauty,2018-05-14,1.1.0,4.0 and up,2280.0,False,0.0,0.43333333333333335
Dresses Ideas & Fashions +3000,BEAUTY,4.5,473.0,"100,000+",Free,Mature 17+,Beauty,2017-03-01,1.0.2.0,1.6 and up,473.0,False,0.0,0.7931034482758621
Amazon Kindle,BOOKS_AND_REFERENCE,4.2,814080.0,"100,000,000+",Free,Teen,Books & Reference,2018-07-27,Varies with device,Varies with device,814080.0,False,0.0,0.5555555555555556
Cool Reader,BOOKS_AND_REFERENCE,4.5,246315.0,"10,000,000+",Free,Everyone,Books & Reference,2015-07-17,Varies with device,1.5 and up,246315.0,False,0.0,0.631578947368421
Dictionary - Merriam-Webster,BOOKS_AND_REFERENCE,4.5,454060.0,"10,000,000+",Free,Everyone,Books & Reference,2018-05-18,Varies with device,Varies with device,454060.0,False,0.0,0.75
Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,418.0,"100,000+",Free,Everyone,Books & Reference,2018-03-27,2.1,4.1 and up,418.0,False,0.0,0.5
FBReader: Favorite Book Reader,BOOKS_AND_REFERENCE,4.5,203130.0,"10,000,000+",Free,Everyone,Books & Reference,2018-06-28,Varies with device,Varies with device,203130.0,False,0.0,0.717948717948718
AlReader -any text book reader,BOOKS_AND_REFERENCE,4.6,90468.0,"5,000,000+",Free,Everyone,Books & Reference,2018-05-27,1.911805270,2.3 and up,90468.0,False,0.0,0.6153846153846154
FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,17506.0,"1,000,000+",Free,Everyone,Books & Reference,2018-07-20,2.3.18,4.1 and up,17506.0,False,0.0,0.7
Ebook Reader,BOOKS_AND_REFERENCE,4.1,85842.0,"5,000,000+",Free,Everyone,Books & Reference,2018-06-25,5.0.6,4.0 and up,85842.0,False,0.0,0.8205128205128205
All Maths Formulas,BOOKS_AND_REFERENCE,4.4,2709.0,"1,000,000+",Free,Everyone,Books & Reference,2018-07-11,1.9,4.4 and up,2709.0,False,0.0,0.7878787878787878
Ancestry,BOOKS_AND_REFERENCE,4.3,64513.0,"5,000,000+",Free,Everyone,Books & Reference,2018-07-31,Varies with device,Varies with device,64513.0,False,0.0,0.7567567567567568
HTC Help,BOOKS_AND_REFERENCE,4.2,8342.0,"10,000,000+",Free,Everyone,Books & Reference,2017-08-28,9.00.950462,7.0 and up,8342.0,False,0.0,0.4
English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4.4,8788.0,"1,000,000+",Free,Everyone,Books & Reference,2018-07-28,2.5.3,4.0 and up,8788.0,False,0.0,0.7894736842105263
Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4.4,51269.0,"1,000,000+",Free,Everyone,Books & Reference,2018-07-19,7.0.4.6,4.2 and up,51269.0,False,0.0,0.6756756756756757
All Language Translator Free,BOOKS_AND_REFERENCE,4.4,30105.0,"1,000,000+",Free,Everyone,Books & Reference,2018-07-29,1.15,4.0.3 and up,30105.0,False,0.0,0.8
Azpen eReader,BOOKS_AND_REFERENCE,3.5,156.0,"500,000+",Free,Everyone,Books & Reference,2018-02-15,3.1.7.9,2.2 and up,156.0,False,0.0,0.6521739130434783
Docs To Go™ Free Office Suite,BUSINESS,4.1,217730.0,"50,000,000+",Free,Everyone,Business,2018-04-02,Varies with device,Varies with device,217730.0,False,0.0,0.6388888888888888
Google My Business,BUSINESS,4.4,70991.0,"5,000,000+",Free,Everyone,Business,2018-07-24,2.19.0.204537701,4.4 and up,70991.0,False,0.0,0.5897435897435898
Curriculum vitae App CV Builder Free Resume Maker,BUSINESS,4.5,4458.0,"500,000+",Free,Everyone,Business,2018-07-08,3.3,4.1 and up,4458.0,False,0.0,0.7894736842105263
Google Primer,BUSINESS,4.4,62272.0,"10,000,000+",Free,Everyone,Business,2018-06-26,3.550.2,4.1 and up,62272.0,False,0.0,1.0
Facebook Pages Manager,BUSINESS,4.0,1279184.0,"50,000,000+",Free,Everyone,Business,2018-08-02,Varies with device,Varies with device,1279184.0,False,0.0,0.29411764705882354
Box,BUSINESS,4.2,159872.0,"10,000,000+",Free,Everyone,Business,2018-07-31,Varies with device,Varies with device,159872.0,False,0.0,0.6923076923076923
Call Blocker,BUSINESS,4.6,188841.0,"5,000,000+",Free,Everyone,Business,2018-06-21,1.1.13,4.0 and up,188841.0,False,0.0,0.3333333333333333
Easy Installer - Apps On SD,BUSINESS,4.1,23055.0,"5,000,000+",Free,Everyone,Business,2018-06-08,Varies with device,Varies with device,23055.0,False,0.0,0.20512820512820512
Facebook Ads Manager,BUSINESS,4.1,19023.0,"1,000,000+",Free,Everyone,Business,2018-08-01,99.0.0.35.75,4.1 and up,19023.0,False,0.0,0.4857142857142857
Genius Scan - PDF Scanner,BUSINESS,4.4,42492.0,"1,000,000+",Free,Everyone,Business,2018-07-11,Varies with device,Varies with device,42492.0,False,0.0,0.8461538461538461
Fast Scanner : Free PDF Scan,BUSINESS,4.5,103755.0,"10,000,000+",Free,Everyone,Business,2018-07-11,3.9.2,4.1 and up,103755.0,False,0.0,0.7837837837837838
Box,BUSINESS,4.2,159872.0,"10,000,000+",Free,Everyone,Business,2018-07-31,Varies with device,Varies with device,159872.0,False,0.0,0.6923076923076923
Google Ads,BUSINESS,4.3,29313.0,"5,000,000+",Free,Everyone,Business,2018-07-30,1.12.0,4.0.3 and up,29313.0,False,0.0,0.5694444444444444
Google My Business,BUSINESS,4.4,70991.0,"5,000,000+",Free,Everyone,Business,2018-07-24,2.19.0.204537701,4.4 and up,70991.0,False,0.0,0.5897435897435898
FreshBooks Classic,BUSINESS,4.1,1802.0,"100,000+",Free,Everyone,Business,2018-04-18,1.7.14,4.2 and up,1802.0,False,0.0,0.5324675324675324
HipChat - Chat Built for Teams,BUSINESS,3.8,5868.0,"500,000+",Free,Everyone,Business,2018-07-03,3.19.005,4.1 and up,5868.0,False,0.0,0.2878787878787879
Crew - Free Messaging and Scheduling,BUSINESS,4.6,4159.0,"500,000+",Free,Everyone,Business,2018-07-20,6.1.2,4.0.3 and up,4159.0,False,0.0,0.9
Asana: organize team projects,BUSINESS,4.3,20815.0,"1,000,000+",Free,Everyone,Business,2018-07-26,6.4.4,5.0 and up,20815.0,False,0.0,0.7674418604651163
AdWords Express,BUSINESS,4.1,7149.0,"1,000,000+",Free,Everyone,Business,2018-07-31,2.6.158,4.0 and up,7149.0,False,0.0,0.4
Accounting App - Zoho Books,BUSINESS,4.5,3079.0,"100,000+",Free,Everyone,Business,2018-08-02,5.20.7,4.1 and up,3079.0,False,0.0,0.7887323943661971
Cisco Webex Meetings,BUSINESS,4.4,108741.0,"10,000,000+",Free,Everyone,Business,2018-07-20,11.1.0,4.3 and up,108741.0,False,0.0,0.5641025641025641
Cisco Webex Teams,BUSINESS,4.2,1661.0,"100,000+",Free,Everyone,Business,2018-08-02,3.0.4651,4.4 and up,1661.0,False,0.0,0.45
Box,BUSINESS,4.2,159872.0,"10,000,000+",Free,Everyone,Business,2018-07-31,Varies with device,Varies with device,159872.0,False,0.0,0.6923076923076923
Google Ads,BUSINESS,4.3,29313.0,"5,000,000+",Free,Everyone,Business,2018-07-30,1.12.0,4.0.3 and up,29313.0,False,0.0,0.5694444444444444
Google My Business,BUSINESS,4.4,70991.0,"5,000,000+",Free,Everyone,Business,2018-07-24,2.19.0.204537701,4.4 and up,70991.0,False,0.0,0.5897435897435898
FreshBooks Classic,BUSINESS,4.1,1802.0,"100,000+",Free,Everyone,Business,2018-04-18,1.7.14,4.2 and up,1802.0,False,0.0,0.5324675324675324
HipChat - Chat Built for Teams,BUSINESS,3.8,5868.0,"500,000+",Free,Everyone,Business,2018-07-03,3.19.005,4.1 and up,5868.0,False,0.0,0.2878787878787879
Crew - Free Messaging and Scheduling,BUSINESS,4.6,4159.0,"500,000+",Free,Everyone,Business,2018-07-20,6.1.2,4.0.3 and up,4159.0,False,0.0,0.9
Asana: organize team projects,BUSINESS,4.3,20815.0,"1,000,000+",Free,Everyone,Business,2018-07-26,6.4.4,5.0 and up,20815.0,False,0.0,0.7674418604651163
AdWords Express,BUSINESS,4.1,7149.0,"1,000,000+",Free,Everyone,Business,2018-07-31,2.6.158,4.0 and up,7149.0,False,0.0,0.4
Accounting App - Zoho Books,BUSINESS,4.5,3079.0,"100,000+",Free,Everyone,Business,2018-08-02,5.20.7,4.1 and up,3079.0,False,0.0,0.7887323943661971
Genius Scan - PDF Scanner,BUSINESS,4.4,42492.0,"1,000,000+",Free,Everyone,Business,2018-07-11,Varies with device,Varies with device,42492.0,False,0.0,0.8461538461538461
Fast Scanner : Free PDF Scan,BUSINESS,4.5,103755.0,"10,000,000+",Free,Everyone,Business,2018-07-11,3.9.2,4.1 and up,103755.0,False,0.0,0.7837837837837838
Docs To Go™ Free Office Suite,BUSINESS,4.1,217730.0,"50,000,000+",Free,Everyone,Business,2018-04-02,Varies with device,Varies with device,217730.0,False,0.0,0.6388888888888888
DC Comics,COMICS,4.2,25671.0,"1,000,000+",Free,Teen,Comics,2018-06-05,Varies with device,Varies with device,25671.0,False,0.0,0.9428571428571428
"Best Wallpapers Backgrounds(100,000+ 4K HD)",COMICS,4.7,3596.0,"10,000+",Free,Teen,Comics,2018-06-16,1.01,4.0.3 and up,3596.0,False,0.0,0.6
Gmail,COMMUNICATION,4.3,4604324.0,"1,000,000,000+",Free,Everyone,Communication,2018-08-02,Varies with device,Varies with device,4604324.0,False,0.0,0.515625
Hangouts,COMMUNICATION,4.0,3419249.0,"1,000,000,000+",Free,Everyone,Communication,2018-07-21,Varies with device,Varies with device,3419249.0,False,0.0,0.7543859649122807
Firefox Browser fast & private,COMMUNICATION,4.4,3075028.0,"100,000,000+",Free,Everyone,Communication,2018-07-10,Varies with device,Varies with device,3075028.0,False,0.0,0.7258064516129032
Contacts,COMMUNICATION,4.3,66602.0,"50,000,000+",Free,Everyone,Communication,2018-06-26,2.8.4.201036949,5.0 and up,66602.0,False,0.0,0.42105263157894735
Browser 4G,COMMUNICATION,4.3,192948.0,"10,000,000+",Free,Everyone,Communication,2018-06-19,24.6.6,4.0.3 - 7.1.1,192948.0,False,0.0,0.6764705882352942
Cricket Visual Voicemail,COMMUNICATION,3.9,13698.0,"10,000,000+",Free,Everyone,Communication,2018-07-02,3.2.0.100171,4.1 and up,13698.0,False,0.0,0.5
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36880.0,"1,000,000+",Free,Everyone,Communication,2018-07-06,5.2,5.0 and up,36880.0,False,0.0,0.84375
Google Voice,COMMUNICATION,4.2,171031.0,"10,000,000+",Free,Everyone,Communication,2018-08-03,Varies with device,Varies with device,171031.0,False,0.0,0.5
Chrome Dev,COMMUNICATION,4.4,63543.0,"5,000,000+",Free,Everyone,Communication,2018-08-02,69.0.3497.24,Varies with device,63543.0,False,0.0,0.6410256410256411
Android Messages,COMMUNICATION,4.2,781810.0,"100,000,000+",Free,Everyone,Communication,2018-08-01,Varies with device,Varies with device,781810.0,False,0.0,0.5348837209302325
Google Duo - High Quality Video Calls,COMMUNICATION,4.6,2083237.0,"500,000,000+",Free,Everyone,Communication,2018-07-31,37.1.206017801.DR37_RC14,4.4 and up,2083237.0,False,0.0,0.8333333333333334
AT&T Visual Voicemail,COMMUNICATION,3.7,13761.0,"10,000,000+",Free,Everyone,Communication,2018-06-27,Varies with device,Varies with device,13761.0,False,0.0,0.44
GMX Mail,COMMUNICATION,4.3,258556.0,"10,000,000+",Free,Everyone,Communication,2018-07-25,Varies with device,Varies with device,258556.0,False,0.0,0.7666666666666667
Hangouts,COMMUNICATION,4.0,3419433.0,"1,000,000,000+",Free,Everyone,Communication,2018-07-21,Varies with device,Varies with device,3419433.0,False,0.0,0.7543859649122807
Calls & Text by Mo+,COMMUNICATION,4.2,83239.0,"5,000,000+",Free,Everyone,Communication,2018-04-19,3.0.4,4.0 and up,83239.0,False,0.0,0.8333333333333334
Google Voice,COMMUNICATION,4.2,171031.0,"10,000,000+",Free,Everyone,Communication,2018-08-03,Varies with device,Varies with device,171031.0,False,0.0,0.5
"GO SMS Pro - Messenger, Free Themes, Emoji",COMMUNICATION,4.4,2876500.0,"100,000,000+",Free,Everyone,Communication,2018-08-01,7.73,4.0 and up,2876500.0,False,0.0,0.5
Android Messages,COMMUNICATION,4.2,781810.0,"100,000,000+",Free,Everyone,Communication,2018-08-01,Varies with device,Varies with device,781810.0,False,0.0,0.5348837209302325
GroupMe,COMMUNICATION,4.5,330761.0,"10,000,000+",Free,Everyone,Communication,2018-07-03,Varies with device,Varies with device,330761.0,False,0.0,0.717948717948718
BBM - Free Calls & Messages,COMMUNICATION,4.3,12842860.0,"100,000,000+",Free,Everyone,Communication,2018-08-02,Varies with device,4.0.3 and up,12842860.0,False,0.0,0.5142857142857142
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36893.0,"1,000,000+",Free,Everyone,Communication,2018-07-06,5.2,5.0 and up,36893.0,False,0.0,0.84375
2ndLine - Second Phone Number,COMMUNICATION,4.2,15880.0,"1,000,000+",Free,Everyone,Communication,2018-08-03,5.65.0,4.0 and up,15880.0,False,0.0,0.425
Firefox Browser fast & private,COMMUNICATION,4.4,3075118.0,"100,000,000+",Free,Everyone,Communication,2018-07-10,Varies with device,Varies with device,3075118.0,False,0.0,0.7258064516129032
"CM Browser - Ad Blocker , Fast Download , Privacy",COMMUNICATION,4.6,2264916.0,"50,000,000+",Free,Everyone,Communication,2018-07-31,5.22.18.0006,4.0 and up,2264916.0,False,0.0,0.5
DU Browser—Browse fast & fun,COMMUNICATION,4.3,1133501.0,"10,000,000+",Free,Everyone,Communication,2016-04-01,6.4.0.4,4.0 and up,1133501.0,False,0.0,0.8
Contacts+,COMMUNICATION,4.2,190613.0,"10,000,000+",Free,Everyone,Communication,2018-07-31,5.85.1,4.0.3 and up,190613.0,False,0.0,0.7105263157894737
ExDialer - Dialer & Contacts,COMMUNICATION,4.2,125232.0,"10,000,000+",Free,Everyone,Communication,2017-03-05,196,2.1 and up,125232.0,False,0.0,0.7586206896551724
Calls & Text by Mo+,COMMUNICATION,4.2,83239.0,"5,000,000+",Free,Everyone,Communication,2018-04-19,3.0.4,4.0 and up,83239.0,False,0.0,0.8333333333333334
Full Screen Caller ID,COMMUNICATION,4.2,104990.0,"5,000,000+",Free,Everyone,Communication,2018-05-15,3.5.0,4.0.3 and up,104990.0,False,0.0,0.6774193548387096
Call Blocker,COMMUNICATION,4.1,17529.0,"1,000,000+",Free,Everyone,Communication,2018-07-26,5.86,4.0.3 and up,17529.0,False,0.0,0.3333333333333333
"CallApp: Caller ID, Blocker & Phone Call Recorder",COMMUNICATION,4.4,483565.0,"10,000,000+",Free,Everyone,Communication,2018-07-29,1.286,4.1 and up,483565.0,False,0.0,1.0
CIA - Caller ID & Call Blocker,COMMUNICATION,4.0,60308.0,"5,000,000+",Free,Everyone,Communication,2018-06-22,Varies with device,Varies with device,60308.0,False,0.0,0.5714285714285714
Calls Blacklist - Call Blocker,COMMUNICATION,4.5,457283.0,"10,000,000+",Free,Everyone,Communication,2018-05-24,Varies with device,Varies with device,457283.0,False,0.0,0.6666666666666666
Call Control - Call Blocker,COMMUNICATION,4.4,93825.0,"5,000,000+",Free,Everyone,Communication,2018-07-05,2.17.3,4.1 and up,93825.0,False,0.0,0.0
Burner - Free Phone Number,COMMUNICATION,4.3,14873.0,"1,000,000+",Free,Everyone,Communication,2018-07-12,Varies with device,Varies with device,14873.0,False,0.0,0.8333333333333334
Caller ID +,COMMUNICATION,4.0,9498.0,"1,000,000+",Free,Everyone,Communication,2016-06-07,5.28.0,2.3 and up,9498.0,False,0.0,1.0
Gmail,COMMUNICATION,4.3,4604483.0,"1,000,000,000+",Free,Everyone,Communication,2018-08-02,Varies with device,Varies with device,4604483.0,False,0.0,0.515625
All Email Providers,COMMUNICATION,4.1,20901.0,"1,000,000+",Free,Everyone,Communication,2018-04-03,5.0.9,4.1 and up,20901.0,False,0.0,0.6
GO Notifier,COMMUNICATION,4.2,124346.0,"10,000,000+",Free,Everyone,Communication,2014-07-06,2.8,2.0 and up,124346.0,False,0.0,0.6176470588235294
Hangouts,COMMUNICATION,4.0,3419513.0,"1,000,000,000+",Free,Everyone,Communication,2018-07-21,Varies with device,Varies with device,3419513.0,False,0.0,0.7543859649122807
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2556.0,"100,000+",Free,Mature 17+,Dating,2018-08-01,2.5.2,4.1 and up,2556.0,False,0.0,0.5490196078431373
Hinge: Dating & Relationships,DATING,4.2,7779.0,"500,000+",Free,Mature 17+,Dating,2018-08-03,6.1.3,5.0 and up,7779.0,False,0.0,0.7391304347826086
BBW Dating & Plus Size Chat,DATING,4.4,12632.0,"1,000,000+",Free,Mature 17+,Dating,2018-07-27,3.5.0.1,4.1 and up,12632.0,False,0.0,0.6216216216216216
CMB Free Dating App,DATING,4.0,48845.0,"1,000,000+",Free,Mature 17+,Dating,2018-08-01,4.19.0.2320,4.4 and up,48845.0,False,0.0,0.7746478873239436
Free Dating App & Flirt Chat - Match with Singles,DATING,4.4,172460.0,"5,000,000+",Free,Mature 17+,Dating,2018-08-04,1.639,4.0 and up,172460.0,False,0.0,0.6363636363636364
Black People Meet Singles Date,DATING,3.9,10212.0,"1,000,000+",Free,Mature 17+,Dating,2018-07-25,1.9.7,4.4 and up,10212.0,False,0.0,0.6785714285714286
Free Dating App & Flirt Chat - Cheers,DATING,4.4,667.0,"10,000+",Free,Mature 17+,Dating,2018-08-03,1.308.us,4.1 and up,667.0,False,0.0,0.5625
Free Dating Hook Up Messenger,DATING,3.3,1157.0,"100,000+",Free,Mature 17+,Dating,2017-01-27,5.0.1,4.2 and up,1157.0,False,0.0,0.671875
BLK - Swipe. Match. Chat.,DATING,4.1,2067.0,"100,000+",Free,Mature 17+,Dating,2018-07-25,1.6.1,4.4 and up,2067.0,False,0.0,0.675
Cougar Dating Life : Date Older Women Sugar Mummy,DATING,3.9,1643.0,"500,000+",Free,Mature 17+,Dating,2018-07-03,4.5.5,4.1 and up,1643.0,False,0.0,0.717948717948718
Free Dating & Flirt Chat - Choice of Love,DATING,4.0,42194.0,"5,000,000+",Free,Mature 17+,Dating,2018-07-24,Varies with device,Varies with device,42194.0,False,0.0,0.2857142857142857
BeWild Free Dating & Chat App,DATING,3.4,1999.0,"100,000+",Free,Mature 17+,Dating,2017-02-03,1.6.5,4.2 and up,1999.0,False,0.0,0.8157894736842105
"FastMeet: Chat, Dating, Love",DATING,4.2,22544.0,"1,000,000+",Free,Mature 17+,Dating,2018-07-27,1.31.4,4.0.3 and up,22544.0,False,0.0,0.72
"Free Dating App - YoCutie - Flirt, Chat & Meet",DATING,4.1,97684.0,"1,000,000+",Free,Mature 17+,Dating,2018-07-10,1.230,4.0.3 and up,97684.0,False,0.0,0.6101694915254238
Dating for 50 plus Mature Singles – FINALLY,DATING,4.6,13046.0,"500,000+",Free,Mature 17+,Dating,2018-07-31,4.17.2,4.1 and up,13046.0,False,0.0,0.7142857142857143
Christian Dating For Free App,DATING,3.9,8722.0,"500,000+",Free,Mature 17+,Dating,2018-06-20,15.8,4.1 and up,8722.0,False,0.0,0.6578947368421053
"Hide App, Private Dating, Safe Chat - PrivacyHider",DATING,4.4,35206.0,"1,000,000+",Free,Everyone,Dating,2018-05-21,2.9.6,4.0 and up,35206.0,False,0.0,0.39622641509433965
Free Dating App - Meet Local Singles - Flirt Chat,DATING,4.1,825.0,"100,000+",Free,Mature 17+,Dating,2017-12-28,1.0.5,4.0 and up,825.0,False,0.0,0.40298507462686567
"Chat Rooms, Avatars, Date - Galaxy",DATING,4.3,135418.0,"10,000,000+",Free,Mature 17+,Dating,2018-07-07,Varies with device,Varies with device,135418.0,False,0.0,0.6216216216216216
Gay Sugar Daddy Dating & Hookup – Sudy Gay,DATING,4.1,2212.0,"100,000+",Free,Mature 17+,Dating,2018-06-20,2.0.5,4.0.3 and up,2212.0,False,0.0,0.6410256410256411
BBWCupid - BBW Dating App,DATING,3.5,241.0,"50,000+",Free,Mature 17+,Dating,2018-06-01,2.2.0.1748,5.0 and up,241.0,False,0.0,0.5384615384615384
ChatVideo Meet new people,DATING,4.2,63986.0,"5,000,000+",Free,Mature 17+,Dating,2018-05-31,3.0.15,4.0 and up,63986.0,False,0.0,0.5405405405405406
FlirtChat - ♥Free Dating/Flirting App♥,DATING,4.3,2430.0,"500,000+",Free,Mature 17+,Dating,2018-07-26,12.0.4,4.1 and up,2430.0,False,0.0,0.7285714285714285
CMB Free Dating App,DATING,4.0,48845.0,"1,000,000+",Free,Mature 17+,Dating,2018-08-01,4.19.0.2320,4.4 and up,48845.0,False,0.0,0.7746478873239436
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2556.0,"100,000+",Free,Mature 17+,Dating,2018-08-01,2.5.2,4.1 and up,2556.0,False,0.0,0.5490196078431373
Hinge: Dating & Relationships,DATING,4.2,7779.0,"500,000+",Free,Mature 17+,Dating,2018-08-03,6.1.3,5.0 and up,7779.0,False,0.0,0.7391304347826086
BBW Dating & Plus Size Chat,DATING,4.4,12632.0,"1,000,000+",Free,Mature 17+,Dating,2018-07-27,3.5.0.1,4.1 and up,12632.0,False,0.0,0.6216216216216216
"Herpes Dating: 1,000K+ Singles",DATING,4.0,738.0,"10,000+",Free,Mature 17+,Dating,2018-08-01,6.4.1,4.1 and up,738.0,False,0.0,0.625
95Live -SG#1 Live Streaming App,DATING,4.1,4953.0,"1,000,000+",Free,Teen,Dating,2018-08-01,8.7.2,4.2 and up,4953.0,False,0.0,0.4358974358974359
Cougar Dating Life : Date Older Women Sugar Mummy,DATING,3.9,1645.0,"500,000+",Free,Mature 17+,Dating,2018-07-03,4.5.5,4.1 and up,1645.0,False,0.0,0.717948717948718
2RedBeans,DATING,4.0,337.0,"10,000+",Free,Mature 17+,Dating,2018-07-31,2.8.0,4.3 and up,337.0,False,0.0,0.7948717948717948
Dating for 50 plus Mature Singles – FINALLY,DATING,4.6,13049.0,"500,000+",Free,Mature 17+,Dating,2018-07-31,4.17.2,4.1 and up,13049.0,False,0.0,0.7142857142857143
"BiggerCity: Chat for gay bears, chubs & chasers",DATING,4.1,923.0,"100,000+",Free,Mature 17+,Dating,2018-08-02,3.4.1.1,4.1 and up,923.0,False,0.0,0.675
Herpes Positive Singles Dating,DATING,4.4,198.0,"10,000+",Free,Mature 17+,Dating,2018-05-18,5.5.7,4.1 and up,198.0,False,0.0,0.75
"Chat Rooms, Avatars, Date - Galaxy",DATING,4.3,135420.0,"10,000,000+",Free,Mature 17+,Dating,2018-07-07,Varies with device,Varies with device,135420.0,False,0.0,0.6216216216216216
"FastMeet: Chat, Dating, Love",DATING,4.2,22545.0,"1,000,000+",Free,Mature 17+,Dating,2018-07-27,1.31.4,4.0.3 and up,22545.0,False,0.0,0.72
Christian Dating For Free App,DATING,3.9,8723.0,"500,000+",Free,Mature 17+,Dating,2018-06-20,15.8,4.1 and up,8723.0,False,0.0,0.6578947368421053
Gay Sugar Daddy Dating & Hookup – Sudy Gay,DATING,4.1,2212.0,"100,000+",Free,Mature 17+,Dating,2018-06-20,2.0.5,4.0.3 and up,2212.0,False,0.0,0.6410256410256411
